"id","event_name","parent_campaign","layer","default_visible","start_year","end_year","place_name","country_today","lat","lon","geometry_type","site_role","perpetrator","succession_type","perpetrator_today","target_group","category","deaths_low","deaths_high","toll_basis","affected_low","affected_high","affected_measure","toll_note","evidence_tier","status","documentation_completeness","completeness_note","key_source","verification_status","verified_note","notes"
"EV0076","Myall Creek massacre","Australian frontier massacres","core","TRUE","1838","1838","Myall Creek, New South Wales","Australia","-29.7500","150.7500","point","victim_site","Settler stockmen","","","Wirrayaraay","indigenous dispossession","28","30","documented_estimate","","","","","1","confirmed","not_assessed","","Criminal trial and executions 1838","unverified","","Perpetrators convicted and hanged; tier 1"
"EV0085","Armenian genocide","Late Ottoman genocides","core","TRUE","1915","1923","Anatolia; Deir ez-Zor; Ras al-Ayn","Turkey / Syria","","","network","victim_site","Committee of Union and Progress","","","Armenians","genocide","600000","1500000","documented_estimate","","","","","1","confirmed","not_assessed","","Ottoman courts-martial 1919-20; Ottoman archives; Akcam","unverified","","Deportation routes are the correct geometry, not points"
"EV0098","Holodomor","Soviet collectivisation famines","core","TRUE","1932","1933","Ukrainian SSR; Kuban","Ukraine / Russia","","","region","victim_site","Soviet state","","","Ukrainian peasantry","state terror","3500000","5000000","documented_estimate","","","","Ukrainian demographic reconstruction. All-union excess deaths for the 1932-33 famines, including Kazakhstan and the Volga, run to 5.7 to 8.7 million","1","confirmed","extensive","National Book of Memory: 805,743 named victims by settlement, 19 volumes","National Book of Memory (805,743 named victims, 19 vols); Ukrainian MVS archival map","source_checked","National Book of Memory 805,743 names confirmed","Village-level pins are available; genocide designation recognised by many states"
"EV0101","Butovo firing range","Great Terror","core","TRUE","1937","1938","Butovo, Moscow","Russia","55.5350","37.5900","point","victim_site","NKVD","","","Executed prisoners","state terror","20762","","documented_estimate","","","","","1","confirmed","not_assessed","","NKVD execution lists; Memorial","unverified","",""
"EV0102","Sandarmokh","Great Terror","core","TRUE","1937","1938","Medvezhyegorsk, Karelia","Russia","62.9400","34.6000","point","victim_site","NKVD","","","Executed prisoners, incl. Solovki transport","state terror","6241","","documented_estimate","","","","","1","confirmed","not_assessed","","Memorial; Dmitriev excavations","unverified","",""
"EV0106","Katyn massacre","Soviet executions of Polish elites","core","TRUE","1940","1940","Katyn, Mednoye, Kharkiv, Bykivnia","Russia / Ukraine","54.7736","31.7889","multi_point","victim_site","NKVD","","","Polish officers and officials","state terror","21857","","documented_estimate","","","","","1","confirmed","not_assessed","","Politburo decision 5 March 1940; Russian acknowledgement 1990","unverified","","Four separate burial sites"
"EV0107","Gulag camp system","Soviet forced labour","core","TRUE","1930","1960","Kolyma, Vorkuta, Norilsk, Karlag and 400+ complexes","Former USSR","","","network","victim_site","GULAG administration","","","Prisoners","state terror","1600000","","counted","18000000","","people who passed through the camp system","The recorded figure comes from the Gulag administration's own mortality registers and is a floor. It excludes special settlements, deaths in transit, and prisoners released to die","1","confirmed","extensive","Memorial and gulag.online: 400+ complexes, thousands of subcamps","Memorial; gulag.online; Soviet archival statistics","unverified","","Site-level data already mapped; import rather than rebuild"
"EV0116","Aktion T4","Nazi murder of disabled people","core","TRUE","1939","1941","Grafeneck, Brandenburg, Hartheim, Sonnenstein, Bernburg, Hadamar","Germany / Austria","48.2350","14.0500","multi_point","victim_site","Nazi regime (Kanzlei des Fuhrers)","","","Disabled people and psychiatric patients","genocide","70273","","documented_estimate","","","","","1","confirmed","not_assessed","","Hartheim statistics document; Nuremberg Doctors Trial","unverified","","Six named killing centres plus feeder institutions"
"EV0118","Warsaw Ghetto","Nazi ghettos","core","TRUE","1940","1943","Warsaw","Poland","52.2450","20.9930","point","victim_site","Nazi occupation","","","Jews","genocide","92000","","documented_estimate","","","","","1","confirmed","not_assessed","","Ringelblum Archive; USHMM Encyclopedia","unverified","","Deaths from starvation before deportation"
"EV0121","Babi Yar massacre","Einsatzgruppen shootings","core","TRUE","1941","1941","Kyiv","Ukraine","50.4718","30.4494","point","victim_site","Einsatzgruppe C and police","","","Jews of Kyiv","genocide","33771","","documented_estimate","","","","","1","confirmed","not_assessed","","Einsatzgruppen report 101; Nuremberg evidence","unverified","","Perpetrator's own report gives the figure"
"EV0127","Chelmno extermination camp","Operation Reinhard and extermination camps","core","TRUE","1941","1945","Chelmno nad Nerem","Poland","52.1533","18.7228","point","victim_site","SS","","","Jews and Roma","genocide","152000","","documented_estimate","","","","","1","confirmed","not_assessed","","Bonn and Lodz trial records; USHMM","unverified","","First camp to use gas vans systematically"
"EV0128","Belzec extermination camp","Operation Reinhard and extermination camps","core","TRUE","1942","1943","Belzec","Poland","50.3800","23.4500","point","victim_site","SS","","","Jews","genocide","434508","","documented_estimate","","","","","1","confirmed","not_assessed","","Hofle Telegram 1943; USHMM","unverified","","Hofle Telegram gives contemporaneous perpetrator figures"
"EV0129","Sobibor extermination camp","Operation Reinhard and extermination camps","core","TRUE","1942","1943","Sobibor","Poland","51.4472","23.5947","point","victim_site","SS","","","Jews","genocide","170000","250000","documented_estimate","","","","","1","confirmed","not_assessed","","Hofle Telegram; Hagen trial records","unverified","",""
"EV0130","Treblinka extermination camp","Operation Reinhard and extermination camps","core","TRUE","1942","1943","Treblinka","Poland","52.6317","22.0517","point","victim_site","SS","","","Jews","genocide","780863","925000","documented_estimate","","","","","1","confirmed","not_assessed","","Hofle Telegram; Dusseldorf trial records","unverified","",""
"EV0131","Auschwitz-Birkenau","Nazi concentration and extermination camps","core","TRUE","1940","1945","Oswiecim","Poland","50.0343","19.1780","point","victim_site","SS","","","Jews, Roma, Poles, Soviet POWs","genocide","1100000","","documented_estimate","","","","","1","confirmed","not_assessed","","Piper, Auschwitz-Birkenau State Museum; Frankfurt trial","unverified","",""
"EV0132","Majdanek","Nazi concentration and extermination camps","core","TRUE","1941","1944","Lublin","Poland","51.2200","22.6000","point","victim_site","SS","","","Jews, Poles, Soviet POWs","genocide","78000","","documented_estimate","","","","","1","confirmed","not_assessed","","Majdanek State Museum; Dusseldorf trial","unverified","",""
"EV0143","Lidice","Nazi reprisal massacres","core","TRUE","1942","1942","Lidice","Czech Republic","50.1436","14.1889","point","victim_site","SS and Gestapo","","","Village population","genocide","340","","documented_estimate","","","","","1","confirmed","not_assessed","","Nuremberg evidence; Czech records","unverified","",""
"EV0144","Oradour-sur-Glane","Nazi reprisal massacres","core","TRUE","1944","1944","Oradour-sur-Glane","France","45.9333","1.0333","point","victim_site","2nd SS Panzer Division","","","Village population","genocide","642","","documented_estimate","","","","","1","confirmed","not_assessed","","Bordeaux trial 1953; preserved site","unverified","",""
"EV0148","Wola massacre","Warsaw Uprising reprisals","core","TRUE","1944","1944","Wola, Warsaw","Poland","52.2350","20.9700","point","victim_site","SS and Dirlewanger Brigade","","","Civilians","genocide","40000","50000","documented_estimate","","","","","2","confirmed","not_assessed","","Polish IPN investigations","unverified","",""
"EV0158","Nanjing massacre","Second Sino-Japanese War","core","TRUE","1937","1938","Nanjing","China","32.0603","118.7969","point","victim_site","Imperial Japanese Army","","","Chinese civilians and POWs","war crimes","40000","300000","documented_estimate","","","","","1","confirmed","not_assessed","","IMTFE judgment 1948; Nanjing War Crimes Tribunal","unverified","","Range is wide and politically contested; show both endpoints"
"EV0173","Great Leap Forward famine","Maoist political campaigns","core","TRUE","1959","1961","Nationwide; Xinyang, Tongwei, Anhui, Sichuan","China","","","region","victim_site","Chinese Communist Party","","","Rural population","state mass killing","15000000","45000000","documented_estimate","","","","","2","confirmed","sparse","County gazetteer coverage concentrated where archives opened: Henan, Anhui, Sichuan, Gansu","Yang Jisheng, Tombstone; Dikotter; county gazetteers","unverified","","Site-level evidence concentrated where archives opened; flag coverage bias"
"EV0186","Tuol Sleng (S-21)","Khmer Rouge genocide","core","TRUE","1975","1979","Phnom Penh","Cambodia","11.5494","104.9177","point","victim_site","Santebal security police","","","Detainees","state mass killing","12000","20000","documented_estimate","","","","","1","confirmed","not_assessed","","ECCC Case 001 judgment (Duch); S-21 archive","unverified","","Prisoner records survive nearly intact"
"EV0187","Choeung Ek killing field","Khmer Rouge genocide","core","TRUE","1977","1979","Choeung Ek","Cambodia","11.4842","104.9020","point","victim_site","Santebal","","","Detainees from S-21","state mass killing","8895","","documented_estimate","","","","","1","confirmed","not_assessed","","Exhumation records; ECCC","unverified","","Figure is exhumed remains, not total"
"EV0190","Tiananmen Square crackdown","Chinese state violence","core","TRUE","1989","1989","Beijing, Muxidi and Chang'an Avenue","China","39.9055","116.3976","multi_point","victim_site","People's Liberation Army","","","Protesters and civilians","state mass killing","200","2600","documented_estimate","","","","","2","contested","not_assessed","","UK and US diplomatic cables; Chinese Red Cross initial figure","unverified","",""
"EV0204","Halabja chemical attack","Anfal campaign","core","TRUE","1988","1988","Halabja","Iraq","35.1778","45.9861","point","victim_site","Iraqi armed forces","","","Kurdish civilians","state mass killing","3200","5000","documented_estimate","","","","","1","confirmed","not_assessed","","Iraqi High Tribunal; forensic studies","unverified","",""
"EV0240","Sharpeville massacre","Apartheid South Africa","core","TRUE","1960","1960","Sharpeville","South Africa","-26.6833","27.8667","point","victim_site","South African Police","","","Protesters","state mass killing","69","","documented_estimate","","","","","1","confirmed","not_assessed","","Wessels Commission; TRC","unverified","",""
"EV0246","El Mozote massacre","Salvadoran civil war","core","TRUE","1981","1981","El Mozote, Morazan","El Salvador","13.7667","-88.1167","point","victim_site","Atlacatl Battalion","","","Village population","state mass killing","800","1000","documented_estimate","","","","","1","confirmed","not_assessed","","UN Truth Commission 1993; forensic exhumations","unverified","",""
"EV0247","Argentine Dirty War disappearances","Argentine military dictatorship","core","TRUE","1976","1983","ESMA; 340 clandestine detention centres","Argentina","-34.5386","-58.4644","multi_point","victim_site","Military junta","","","Perceived subversives","state mass killing","9000","30000","documented_estimate","","","","","1","confirmed","extensive","340+ clandestine detention centres inventoried","CONADEP Nunca Mas 1984; post-2003 trials","unverified","","Clandestine centre list is published and mappable"
"EV0265","Srebrenica genocide","Bosnian War","core","TRUE","1995","1995","Srebrenica; Kravica; Pilica","Bosnia and Herzegovina","44.1058","19.2969","multi_point","victim_site","Army of Republika Srpska","","","Bosniak men and boys","genocide","8372","","documented_estimate","","","","","1","confirmed","near_complete","ICMP has identified individual secondary grave sites through DNA matching","ICTY Krstic and Mladic judgments; ICJ 2007","unverified","","Secondary mass grave sites are individually mapped by ICMP"
"EV0293","Bhopal gas disaster","Industrial chemical release","core","TRUE","1984","1984","Bhopal","India","23.2833","77.4100","point","victim_site","Union Carbide India Ltd","acquisition","Dow Chemical, now Dow Inc.","City residents","corporate and industrial harm","3787","25000","documented_estimate","574000","","people recognised as injured by the Indian government","The lower figure is the immediate official count; the higher includes deaths over subsequent years","1","confirmed","not_assessed","","Indian government figures; Bhopal court convictions 2010","unverified","","Site still contaminated; ongoing harm"
"EV0294","Minamata disease","Industrial mercury poisoning","core","TRUE","1932","1968","Minamata, Kumamoto","Japan","32.2100","130.4000","point","victim_site","Chisso Corporation","liability_spinoff","JNC Corporation","Fishing communities","corporate and industrial harm","1784","","counted","2265","","officially certified patients","Certification was restrictive; tens of thousands more applied and were refused","1","confirmed","not_assessed","","Kumamoto District Court 1973; Japanese government recognition","unverified","","Company knew and continued discharging"
"EV0302","Tobacco industry concealment","Corporate public health harm","register","FALSE","1953","2006","United States and globally","Multiple","","","unmapped","victim_site","Major tobacco manufacturers","","","Smokers","corporate and industrial harm","","","attributable_annual","","","current smokers worldwide: over 1 billion","WHO attributes more than 8 million deaths a year to tobacco, and around 100 million deaths to tobacco across the twentieth century. The litigation established the concealment; the mortality is epidemiological attribution, not a body count","1","confirmed","not_assessed","","WHO tobacco fact sheets; US v Philip Morris, Kessler judgment 2006","unverified","","Court found a decades-long scheme to deceive"
"EV0350","September 11 attacks","Al-Qaeda","core","TRUE","2001","2001","New York; Arlington; Shanksville","United States","40.7115","-74.0134","multi_point","victim_site","Al-Qaeda","","","Civilians and responders","terrorist attack","2977","","documented_estimate","","","","","1","confirmed","not_assessed","","9/11 Commission Report 2004","unverified","",""
"EV0365","Atomic bombings of Hiroshima and Nagasaki","Second World War strategic bombing","core","TRUE","1945","1945","Hiroshima; Nagasaki","Japan","34.3955","132.4536","multi_point","victim_site","United States","","","City populations","aerial bombardment","110000","210000","documented_estimate","","","hibakusha officially recognised: around 650,000","The lower figures are deaths by the end of 1945; the higher include deaths from radiation illness over subsequent years","1","contested","not_assessed","","Japanese municipal surveys; Manhattan Engineer District report","unverified","","Include only with the legal and moral debate stated on the entry"
"EV0371","Bucha killings","Russian invasion of Ukraine","core","TRUE","2022","2022","Bucha","Ukraine","50.5445","30.2119","point","victim_site","Russian forces","","","Civilians","war crimes","458","","documented_estimate","","","","","1","ongoing_adjudication","not_assessed","","Ukrainian prosecutor exhumations; UN Commission of Inquiry","unverified","",""
"EV0420","Jonestown mass murder-suicide","Peoples Temple","core","TRUE","1978","1978","Jonestown; Port Kaituma airstrip; Georgetown","Guyana","7.7167","-59.9667","multi_point","victim_site","Peoples Temple leadership (Jim Jones)","","","Members and a US congressional delegation","cult and coercive organisation","918","","documented_estimate","","","","","1","confirmed","not_assessed","","US House Foreign Affairs Committee report 1979; Guyanese inquest; FBI RYMUR files","unverified","","Over 300 of the dead were children, who could not consent; armed guards enforced the ring"
"EV0423","Heaven's Gate mass suicide","Heaven's Gate","core","TRUE","1997","1997","Rancho Santa Fe, California","United States","33.0203","-117.2020","point","victim_site","Heaven's Gate leadership (Marshall Applewhite)","","","Members","cult and coercive organisation","39","","documented_estimate","","","","","1","confirmed","not_assessed","","San Diego County Sheriff and Medical Examiner reports","unverified","","Closest case in this layer to genuine collective consent; note that on the entry"
"EV0442","Persian famine","First World War occupation of Persia","register","FALSE","1917","1919","Northern and western Persia","Iran","","","unmapped","victim_site","Occupying Russian, British and Ottoman forces; grain hoarding","","","Persian population","engineered famine","","","not_quantified","","","","","2","contested","not_assessed","","Majd (contested); British and Persian archival sources","source_checked","Majd figure rejected by academic historians; ~2m mainstream","Majd's figure of 8-10 million is rejected by most demographers; store a wide range"
"EV0467","Expulsion of the Hoa and the boat people","Post-war Vietnam","register","FALSE","1978","1990","Ho Chi Minh City; Haiphong; South China Sea routes","Vietnam","","","unmapped","victim_site","Vietnamese government policy and semi-official exit fees","","","Ethnic Chinese and southern Vietnamese","forced displacement","200000","400000","documented_estimate","","","","","2","contested","not_assessed","","UNHCR records; Kwok; Vietnamese and Chinese accounts","unverified","","Deaths at sea are the largest component and the least precisely counted"
"EV0474","Plaza Hotel strategy meeting","Tobacco industry concealment","source_sites","FALSE","1953","1953","The Plaza Hotel, Fifth Avenue, New York","United States","40.7644","-73.9744","point","decision_site","Heads of Philip Morris, R.J. Reynolds, Brown and Williamson, Lorillard and American Tobacco, with Hill and Knowlton","rename","Altria Group","","corporate and industrial harm","","","not_quantified","","","","","1","confirmed","not_assessed","","US v Philip Morris, Kessler judgment 2006; Hill and Knowlton records","source_checked","14-15 Dec 1953 confirmed via Kessler judgment","14-15 December 1953. The room where the industry agreed to jointly contest the science. Kessler dates the RICO enterprise from here"
"EV0481","Truth Tobacco Industry Documents library","Tobacco industry concealment","source_sites","FALSE","2002","2026","UCSF, San Francisco","United States","37.7627","-122.4580","point","evidence_site","University of California San Francisco (custodian)","","","","corporate and industrial harm","","","not_quantified","","","","","1","confirmed","not_assessed","","UCSF Industry Documents Library","unverified","","Around 90 million pages released through litigation; the underlying source for most tobacco rows"
"EV0482","Chemie Gruenenthal works","Thalidomide","source_sites","FALSE","1954","1961","Stolberg, near Aachen","Germany","50.7700","6.2300","point","perpetrator_site","Chemie Gruenenthal","unchanged","Gruenenthal GmbH","","corporate and industrial harm","","","not_quantified","","","","","1","confirmed","not_assessed","","Aachen Regional Court proceedings 1968-70","unverified","","Where thalidomide was developed, manufactured and marketed as safe in pregnancy"
"EV0486","Wannsee Conference villa","Nazi concentration and extermination camps","source_sites","FALSE","1942","1942","Am Grossen Wannsee 56-58, Berlin","Germany","52.4331","13.1644","point","decision_site","Reich Security Main Office (Heydrich)","","","","genocide","","","not_quantified","","","","","1","confirmed","not_assessed","","Wannsee Protocol; surviving copy in the German Federal Archives","unverified","","Coordination of the Final Solution; the protocol survives"
"EV0493","Nuremberg Palace of Justice","Nazi concentration and extermination camps","source_sites","FALSE","1945","1949","Nuremberg","Germany","49.4530","11.0500","point","evidence_site","International Military Tribunal and NMT (custodian)","","","","genocide","","","not_quantified","","","","","1","confirmed","not_assessed","","IMT and NMT trial records","unverified","","The documentary foundation for a large share of the Nazi-era rows"
"EV0494","Radium dial painting at US Radium","Radium dial painting","core","TRUE","1917","1926","US Radium Corporation, Orange, New Jersey","United States","40.7712","-74.2326","point","victim_site","US Radium Corporation","rename","Safety Light Corporation","Women dial painters","corporate and industrial harm","50","","documented_estimate","","","dial painters employed at the Orange plant: around 70","Deaths accrued over decades from bone necrosis and osteosarcoma. The count is of identified painters, not a complete cohort","1","confirmed","not_assessed","","Fryer et al. settlement 1928; New Jersey Department of Labor findings; Clark, Radium Girls","unverified","","Company chemists handled radium behind lead shields and with tongs while instructing painters to point brushes with their lips. The knowledge gap was manufactured, not accidental"
"EV0497","Leaded petrol exposure","Tetraethyl lead in petrol","register","FALSE","1923","2021","Global, wherever leaded petrol was sold","Multiple","","","unmapped","victim_site","General Motors, Standard Oil of New Jersey, DuPont, later the Ethyl Corporation and licensees","rename","NewMarket Corporation (Afton Chemical)","General population, especially children","corporate and industrial harm","","","attributable_annual","","","IQ points lost in children under five, all lead sources: 765 million in 2019","Lead exposure from all sources is linked to 5.5 million cardiovascular deaths in 2019 (Lancet Planetary Health) or 0.9 to 1.57 million (GBD 2019 and 2021). The two differ roughly sixfold. Petrol's share of the cumulative historical burden has never been separately quantified","1","confirmed","not_assessed","","Larsen and Sanchez-Triana, Lancet Planetary Health 2023; GBD 2019 and 2021; McFarland et al. PNAS 2022","source_checked","Lancet Planetary Health 2023 and GBD figures confirmed","Harm followed a distributed product across a century and most of the world. Source sites are pinned separately; the exposure itself cannot be"
"EV0498","Discovery of tetraethyl lead","Tetraethyl lead in petrol","source_sites","FALSE","1921","1921","General Motors Research Laboratory, Dayton, Ohio","United States","39.7589","-84.1916","point","decision_site","Thomas Midgley Jr and Charles Kettering, General Motors","court_ordered","New GM (General Motors Company); the predecessor became Motors Liquidation Company","","corporate and industrial harm","","","not_quantified","","","","","1","confirmed","not_assessed","","GM research records; Kovarik, Ethyl-leaded Gasoline","unverified","","Ethanol was a known, unpatentable alternative anti-knock agent. Tetraethyl lead could be patented. Midgley later invented CFCs"
"EV0499","Bayway refinery tetraethyl lead poisonings","Tetraethyl lead in petrol","core","TRUE","1924","1924","Standard Oil Bayway refinery, Elizabeth, New Jersey","United States","40.6400","-74.2100","point","victim_site","Standard Oil of New Jersey","rename","ExxonMobil","Refinery workers","corporate and industrial harm","5","","counted","35","","workers hospitalised with acute lead psychosis","","1","confirmed","not_assessed","","New Jersey state investigation 1924; contemporary press and Bureau of Mines records","unverified","","Workers called it the looney gas building. Around 35 more were hospitalised with acute lead psychosis"
"EV0505","Hawk's Nest Tunnel silicosis disaster","Industrial silica exposure","core","TRUE","1930","1935","Gauley Bridge, West Virginia","United States","38.1300","-81.2000","point","victim_site","Union Carbide and Carbon Corporation and Rinehart and Dennis","acquisition","Dow Chemical, now Dow Inc.","Tunnel workers, mostly Black migrant labourers","corporate and industrial harm","476","764","documented_estimate","","","workers employed on the tunnel: around 3,000","The lower figure is the 1936 congressional count; the higher is Cherniack's epidemiological reconstruction","1","confirmed","not_assessed","","US House Labor Subcommittee hearings 1936; Cherniack, The Hawk's Nest Incident","unverified","","Dry drilling through almost pure silica without respirators, while engineers wore them on inspection visits. Many of the dead were buried in unmarked graves in a nearby field"
"EV0509","Rofecoxib (Vioxx) marketing","Pharmaceutical harm","core","TRUE","1999","2004","Merck, Whitehouse Station, New Jersey","United States","40.6100","-74.7700","point","victim_site","Merck and Company","","","Patients prescribed the drug","corporate and industrial harm","26000","55000","excess_mortality","88000","139000","excess heart attacks and strokes, FDA safety reviewer estimate","Derived from Graham's FDA analysis assuming 30 to 40 percent case fatality. Merck disputed the methodology","1","confirmed","not_assessed","","Graham FDA analysis 2004; Merck guilty plea 2011; 4.85 billion dollar settlement 2007","unverified","","The VIGOR trial showed elevated cardiovascular risk in 2000. The FDA's own safety reviewer estimated 88,000 to 139,000 excess heart attacks before withdrawal"
"EV0537","Exxon internal climate research","Fossil fuel climate concealment","source_sites","FALSE","1977","1982","Exxon Research and Engineering, Linden, New Jersey","United States","40.6220","-74.2350","point","decision_site","Exxon Corporation","","","","corporate and industrial harm","","","not_quantified","","","","","1","ongoing_adjudication","not_assessed","","Black memorandum 1977; Exxon internal projections 1982; Supran, Oreskes and Rahmstorf, Science 2023","source_checked","Supran, Oreskes and Rahmstorf, Science 2023 confirmed","Exxon's own scientists modelled warming accurately. A 2023 analysis in Science found their internal projections matched or beat contemporary academic models. Public messaging then took the opposite line"
