"id","event_name","parent_campaign","layer","default_visible","start_year","end_year","place_name","country_today","lat","lon","coord_source","coord_precision","geometry_type","site_role","perpetrator","succession_type","perpetrator_today","target_group","category","deaths_low","deaths_high","toll_basis","affected_low","affected_high","affected_measure","toll_note","evidence_tier","status","documentation_completeness","completeness_note","key_source","verification_status","verified_note","notes"
"EV0019","Boer War concentration camps","Second Boer War","core","TRUE","1900","1902","Bloemfontein and 45 further camps","South Africa","","","","","multi_point","victim_site","British Army","","","Boer and African civilians","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Fawcett Commission 1901; Hobhouse report","unverified","","Named camp list exists; each camp is a pin"
"EV0020","Congo Free State rubber regime","Leopold II personal rule","core","TRUE","1885","1908","Equateur and Kasai","DR Congo","","","","","region","victim_site","Congo Free State / concession companies","","","Congolese population","colonial conquest","1000000","15000000","documented_estimate","","","","Hochschild's ten million follows Vansina's estimate of a halving of the population; Vellut and others argue for one to five million. No census existed. The Belgian Commission of Inquiry of 1905 confirmed the abuses without quantifying deaths. The range is the honest answer","1","contested","not_assessed","","Casement Report 1904; Commission of Inquiry 1905","unverified","","Toll estimates vary enormously; store the range"
"EV0021","Herero and Nama genocide","German South West Africa","core","TRUE","1904","1908","Waterberg; Shark Island, Luderitz","Namibia","","","","","multi_point","victim_site","German colonial army (von Trotha)","","","Herero and Nama","colonial conquest","34000","110000","documented_estimate","","","","Around 80 percent of the Herero and 50 percent of the Nama. Proportionally among the most complete exterminations in the file","1","confirmed","not_assessed","","Von Trotha extermination order; Blue Book 1918","unverified","","Germany formally recognised as genocide in 2021"
"EV0022","Maji Maji rebellion suppression","German East Africa","register","FALSE","1905","1907","Southern Tanzania","Tanzania","","","","","unmapped","victim_site","German colonial forces","","","Local populations","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Iliffe; German colonial records","unverified","","Deliberate famine used as a weapon"
"EV0023","Putumayo rubber atrocities","Amazon rubber boom","core","TRUE","1900","1912","La Chorrera, El Encanto","Colombia / Peru","","","","","multi_point","victim_site","Peruvian Amazon Company","","","Huitoto, Bora and other peoples","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Casement Putumayo Report 1912; UK Select Committee","unverified","","British parliamentary inquiry gives tier 1 record"
"EV0024","Cyrenaica concentration camps","Italian pacification of Libya","core","TRUE","1929","1934","El Agheila, Soluch, Marsa Brega","Libya","","","","","multi_point","victim_site","Italian colonial forces (Graziani)","","","Bedouin population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Ahmida; Italian military archives","unverified","",""
"EV0025","Addis Ababa massacre (Yekatit 12)","Italian occupation of Ethiopia","core","TRUE","1937","1937","Addis Ababa","Ethiopia","9.025","38.7469","unverified_ai","settlement","point","victim_site","Italian occupation forces","","","Ethiopian civilians","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Campbell, The Addis Ababa Massacre","unverified","",""
"EV0026","Debre Libanos monastery massacre","Italian occupation of Ethiopia","core","TRUE","1937","1937","Debre Libanos","Ethiopia","9.7083","38.85","unverified_ai","site","point","victim_site","Italian occupation forces","","","Orthodox clergy","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Campbell","unverified","",""
"EV0027","Mau Mau detention camps","British emergency in Kenya","core","TRUE","1952","1960","Hola, Manyani, Langata and the Pipeline","Kenya","","","","","multi_point","victim_site","British colonial administration","","","Kikuyu detainees","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Mutua v FCO settlement 2013; Elkins; Anderson","unverified","","UK settlement and released Hanslope Park files"
"EV0028","Setif and Guelma massacre","French rule in Algeria","core","TRUE","1945","1945","Setif, Guelma","Algeria","","","","","multi_point","victim_site","French forces and settler militias","","","Algerian civilians","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Tubert report; Vetillard","unverified","",""
"EV0029","Algerian War torture and camps","French rule in Algeria","core","TRUE","1954","1962","Philippeville; regroupement camps","Algeria","","","","","multi_point","victim_site","French Army","","","Algerian civilians","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Branche; Macron 2018 acknowledgement","unverified","",""
"EV0030","Paris massacre of Algerians","French rule in Algeria","core","TRUE","1961","1961","Paris","France","48.8566","2.3522","unverified_ai","settlement","point","victim_site","Paris police (Papon)","","","Algerian demonstrators","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Mandelkern report 1998; Einaudi","unverified","",""
"EV0031","Madagascar uprising suppression","French colonial rule","core","TRUE","1947","1948","Moramanga and eastern Madagascar","Madagascar","","","","","region","victim_site","French forces","","","Malagasy population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Cole; French military archives","unverified","",""
"EV0032","Portuguese forced labour regime","Portuguese African colonies","register","FALSE","1899","1961","Angola and Mozambique","Angola / Mozambique","","","","","unmapped","victim_site","Portuguese state and concessionaires","","","African labourers","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Ross report 1925; ILO 1962","unverified","",""
"EV0033","Rawagede massacre","Dutch police actions in Indonesia","core","TRUE","1947","1947","Rawagede (Balongsari)","Indonesia","-6.25","107.3","unverified_ai","settlement","point","victim_site","Dutch Army","","","Village men","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Hague District Court 2011 ruling","unverified","","Dutch court judgment gives tier 1 status"
"EV0034","South Sulawesi campaign","Dutch police actions in Indonesia","core","TRUE","1946","1947","South Sulawesi","Indonesia","","","","","region","victim_site","Dutch special forces (Westerling)","","","Local population","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Dutch court rulings; Limpach","unverified","",""
"EV0035","Boven-Digoel internment camp","Dutch East Indies","core","TRUE","1927","1943","Boven-Digoel, Papua","Indonesia","-6.0833","140.3","unverified_ai","approximate","point","victim_site","Netherlands Indies government","","","Political detainees","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Shiraishi; colonial archives","unverified","",""
"EV0036","Balangiga reprisals and Samar campaign","Philippine-American War","core","TRUE","1901","1902","Samar","Philippines","","","","","region","victim_site","US Army (Smith)","","","Samar population","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","US court-martial of Gen. Jacob H. Smith 1902","unverified","","Court-martial record is tier 1"
"EV0037","Bud Dajo massacre","US rule in the Philippines","core","TRUE","1906","1906","Bud Dajo, Jolo","Philippines","6.0167","121.0167","unverified_ai","site","point","victim_site","US Army","","","Moro villagers","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","US Army reports; Hurley","unverified","",""
"EV0038","Eight-Nation Alliance reprisals","Boxer Rebellion aftermath","core","TRUE","1900","1901","Beijing, Tianjin, Baoding","China","","","","","multi_point","victim_site","Allied expeditionary forces","","","Chinese civilians","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Hevia; Preston","unverified","",""
"EV0039","Circassian genocide","Russian conquest of the Caucasus","core","TRUE","1860","1867","Sochi; Black Sea ports","Russia","","","","","multi_point","victim_site","Russian Empire","","","Circassians","colonial conquest","400000","1500000","documented_estimate","","","","Deaths in the deportation and at the Black Sea embarkation points. Russian and Circassian sources differ sharply","2","contested","not_assessed","","Richmond; Russian military archives","unverified","","Deportation by sea with mass mortality"
"EV0040","Kanto earthquake massacre of Koreans","Japanese colonial period","core","TRUE","1923","1923","Tokyo and Kanagawa","Japan","","","","","multi_point","victim_site","Vigilante groups, police, army","","","Korean residents","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Ryang; contemporary police records","unverified","",""
"EV0041","Japanese colonial rule in Korea","Japanese empire","core","TRUE","1910","1945","Korean peninsula","South Korea / North Korea","","","","","region","victim_site","Empire of Japan","","","Korean population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Various; see comfort women and forced labour rows","unverified","","Parent entry; child events carry the pins"
"EV0042","Transatlantic slave trade","Atlantic slavery system","core","TRUE","1501","1867","Atlantic basin","Multiple","","","","","network","victim_site","European and American traders and states","","","Enslaved Africans","slavery and forced labour","1800000","2400000","documented_estimate","12500000","","people embarked; 10.7 million survived to disembark","Middle Passage mortality only, derived from the gap between embarkation and disembarkation in SlaveVoyages. Deaths during capture and the march to the coast are widely thought to equal or exceed this and are not counted anywhere","1","confirmed","extensive","SlaveVoyages: 36,000+ voyages with ports and dates","SlaveVoyages.org (36,000+ voyages, ports and dates)","unverified","","Parent record; use SlaveVoyages for site-level pins"
"EV0043","Elmina Castle slave fort","Transatlantic slave trade","core","TRUE","1500","1814","Elmina","Ghana","5.0847","-1.3486","fixture_dev","site","point","victim_site","Portuguese then Dutch","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages; UNESCO dossier","unverified","",""
"EV0044","Cape Coast Castle","Transatlantic slave trade","core","TRUE","1664","1807","Cape Coast","Ghana","5.1053","-1.2466","unverified_ai","site","point","victim_site","English / British","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages; UNESCO dossier","unverified","",""
"EV0045","Goree Island departure point","Transatlantic slave trade","core","TRUE","1500","1848","Goree","Senegal","14.6669","-17.3981","unverified_ai","site","point","victim_site","Multiple European powers","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","2","contested","not_assessed","","UNESCO; scale of throughput disputed","unverified","","Symbolic importance exceeds documented volume; note this"
"EV0046","Bunce Island","Transatlantic slave trade","core","TRUE","1670","1808","Bunce Island","Sierra Leone","8.5667","-13.0333","unverified_ai","site","point","victim_site","British traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages","unverified","",""
"EV0047","Ouidah embarkation point","Transatlantic slave trade","core","TRUE","1671","1863","Ouidah","Benin","6.3667","2.0833","unverified_ai","settlement","point","victim_site","Dahomey and European traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages","unverified","",""
"EV0048","Luanda embarkation point","Transatlantic slave trade","core","TRUE","1575","1850","Luanda","Angola","-8.839","13.2894","unverified_ai","settlement","point","victim_site","Portuguese traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages","unverified","","Largest single departure region"
"EV0049","Valongo Wharf arrival point","Transatlantic slave trade","core","TRUE","1811","1843","Rio de Janeiro","Brazil","-22.8967","-43.1869","unverified_ai","site","point","victim_site","Brazilian and Portuguese traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages; UNESCO World Heritage","unverified","",""
"EV0050","Sullivan's Island arrival point","Transatlantic slave trade","core","TRUE","1707","1808","Sullivan's Island, Charleston","United States","32.7618","-79.8376","unverified_ai","site","point","victim_site","British and American traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages","unverified","",""
"EV0051","Indian Ocean and Arab slave trade","Indian Ocean slavery system","core","TRUE","1500","1900","Zanzibar, Kilwa, Gulf ports","Tanzania / Oman / others","","","","","network","victim_site","Omani, Swahili and European traders","","","Enslaved East Africans","slavery and forced labour","","","not_quantified","4000000","","people enslaved across the period, Lovejoy's estimate","Mortality was never recorded. Enslavement counts are the only defensible figure","2","confirmed","not_assessed","","Sheriff; Lovejoy","unverified","","Poorer quantitative record than the Atlantic trade"
"EV0052","Trans-Saharan slave trade","Saharan slavery system","register","FALSE","1500","1900","Trans-Saharan routes","Multiple","","","","","unmapped","victim_site","North African and Sahelian traders","","","Enslaved Africans","slavery and forced labour","","","not_quantified","5500000","","people trafficked across the Sahara, 1500 to 1900, Austen's estimate","Desert crossing mortality is thought to have been very high and was never recorded","2","confirmed","not_assessed","","Lovejoy, Transformations in Slavery","unverified","",""
"EV0053","Caribbean plantation slavery","Atlantic slavery system","core","TRUE","1500","1886","Barbados, Jamaica, Saint-Domingue, Cuba","Multiple","","","","","region","victim_site","Planters under European law","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","Legacies of British Slave-ownership database, UCL","unverified","","UCL database gives named estates and owners"
"EV0054","Rochambeau reprisals","Haitian Revolution","core","TRUE","1802","1803","Cap-Francais (Cap-Haitien)","Haiti","19.758","-72.201","unverified_ai","settlement","point","victim_site","French expeditionary force","","","Haitian population","slavery and forced labour","","","not_quantified","","","","","2","confirmed","not_assessed","","Girard; French archives","unverified","","Included mass drownings and use of dogs"
"EV0055","Convict leasing","Post-emancipation US South","core","TRUE","1865","1928","Alabama, Georgia, Mississippi mines and camps","United States","","","","","multi_point","victim_site","State governments and lessee companies","","","Black prisoners","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","Blackmon, Slavery by Another Name; state records","unverified","",""
"EV0056","Peonage in the US South","Post-emancipation US South","register","FALSE","1865","1945","Rural South","United States","","","","","unmapped","victim_site","Landowners with state acquiescence","","","Black labourers","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","DOJ Circular 3591; federal prosecutions","unverified","",""
"EV0057","Belomorkanal forced labour","Soviet Gulag","core","TRUE","1931","1933","White Sea-Baltic Canal","Russia","","","","","route","victim_site","OGPU","","","Prisoners","slavery and forced labour","","","not_quantified","","","","","2","confirmed","not_assessed","","Memorial; Applebaum","unverified","",""
"EV0058","Burma-Siam Railway","Japanese wartime forced labour","core","TRUE","1942","1943","Thanbyuzayat to Ban Pong","Myanmar / Thailand","","","","","route","victim_site","Imperial Japanese Army","","","Allied POWs and romusha","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","IMTFE record; CWGC registers","unverified","","Asian labourer deaths far exceed POW deaths and are less documented"
"EV0059","Romusha forced labour mobilisation","Japanese occupation of the Indies","register","FALSE","1942","1945","Java and outer islands","Indonesia","","","","","unmapped","victim_site","Imperial Japanese Army","","","Javanese labourers","slavery and forced labour","","","not_quantified","","","","","2","confirmed","not_assessed","","Sato; Kratoska","unverified","",""
"EV0060","Kafala system deaths","Gulf migrant labour","register","FALSE","1970","2025","Gulf states","Multiple","","","","","unmapped","victim_site","Employers and states","","","Migrant workers","slavery and forced labour","","","not_quantified","","","","","3","contested","not_assessed","","ILO; Amnesty; Guardian investigations","unverified","","Mortality attribution heavily disputed; keep as tier 3"
"EV0061","Qatar World Cup construction deaths","Gulf migrant labour","register","FALSE","2010","2022","Doha","Qatar","","","","","unmapped","victim_site","Contractors and state","","","South Asian migrant workers","slavery and forced labour","","","not_quantified","","","","","3","contested","not_assessed","","ILO 2021; Guardian; contested counts","unverified","","Do not use the widely circulated 6,500 figure without qualification"
"EV0062","Cobalt mining child labour","DRC artisanal mining","core","TRUE","2000","2025","Kolwezi and Lualaba","DR Congo","","","","","region","victim_site","Artisanal buyers and supply chains","","","Child and adult miners","slavery and forced labour","","","not_quantified","","","","","2","contested","not_assessed","","Amnesty 2016; Doe v Cardinal Health litigation","unverified","",""
"EV0063","Mystic massacre","Pequot War","core","TRUE","1637","1637","Mystic, Connecticut","United States","41.3543","-71.9665","unverified_ai","settlement","point","victim_site","Connecticut colonists and allies","","","Pequot","indigenous dispossession","400","700","documented_estimate","","","","","2","confirmed","not_assessed","","Underhill and Mason accounts; Cave","unverified","",""
"EV0064","King Philip's War reprisals","New England colonial war","core","TRUE","1675","1676","Southern New England","United States","","","","","region","victim_site","New England colonies","","","Wampanoag, Narragansett and others","indigenous dispossession","","","not_quantified","","","","","2","confirmed","not_assessed","","Lepore, The Name of War","unverified","","Includes enslavement and sale of captives"
"EV0065","Fort Pitt smallpox blankets","Pontiac's War","core","TRUE","1763","1763","Fort Pitt, Pennsylvania","United States","40.441","-80.009","unverified_ai","site","point","victim_site","British officers","","","Delaware delegates","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","Amherst-Bouquet correspondence; Fort Pitt journal","unverified","","Intent is documented; epidemiological effect is not"
"EV0066","Trail of Tears and Indian Removal","US Indian Removal policy","core","TRUE","1830","1850","Southeast to Indian Territory","United States","","","","","route","victim_site","US federal government","","","Cherokee, Choctaw, Creek, Chickasaw, Seminole","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","Indian Removal Act 1830; US Army records","unverified","","Route geometry, not a point"
"EV0067","California genocide","US and California state policy","core","TRUE","1846","1873","Northern and Central California","United States","","","","","region","victim_site","State militias with public bounties","","","California Indian peoples","indigenous dispossession","9400","16000","documented_estimate","","","","","1","confirmed","not_assessed","","California state appropriations records; Madley, An American Genocide","unverified","","State paid bounties; unusually strong documentary trail"
"EV0068","Bear River massacre","US Indian Wars","core","TRUE","1863","1863","Preston, Idaho","United States","42.1","-111.9167","unverified_ai","approximate","point","victim_site","US Army (Connor)","","","Northwestern Shoshone","indigenous dispossession","250","500","documented_estimate","","","","","2","confirmed","not_assessed","","Madsen; NPS designation","unverified","",""
"EV0069","Sand Creek massacre","US Indian Wars","core","TRUE","1864","1864","Kiowa County, Colorado","United States","38.5478","-102.5070","fixture_dev","site","point","victim_site","Colorado Territory militia (Chivington)","","","Cheyenne and Arapaho","indigenous dispossession","150","230","documented_estimate","","","","","1","confirmed","not_assessed","","Congressional Joint Committee 1865; NPS site","unverified","",""
"EV0070","Long Walk of the Navajo","US Indian Wars","core","TRUE","1864","1866","Canyon de Chelly to Bosque Redondo","United States","","","","","route","victim_site","US Army (Carleton)","","","Navajo","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","US Army records; NPS","unverified","",""
"EV0071","Marias massacre","US Indian Wars","core","TRUE","1870","1870","Marias River, Montana","United States","48.5167","-111.7","unverified_ai","approximate","point","victim_site","US Army (Baker)","","","Piegan Blackfeet","indigenous dispossession","170","220","documented_estimate","","","","","2","confirmed","not_assessed","","Army reports; Wylie","unverified","",""
"EV0072","Wounded Knee massacre","US Indian Wars","core","TRUE","1890","1890","Wounded Knee Creek, South Dakota","United States","43.1400","-102.3650","fixture_dev","site","point","victim_site","US 7th Cavalry","","","Lakota","indigenous dispossession","250","300","documented_estimate","","","","","1","confirmed","not_assessed","","Army investigation; NPS","unverified","",""
"EV0073","US Indian boarding schools","Assimilation policy","core","TRUE","1860","1978","Carlisle and 400+ further schools","United States","","","","","multi_point","victim_site","US federal government and churches","","","Native American children","indigenous dispossession","973","3104","documented_estimate","","","","","1","confirmed","partial","Interior Dept named 400+ schools; burial site work incomplete","US Interior Dept Federal Boarding School Initiative 2022-24","unverified","","Federal investigation lists named schools and burial sites"
"EV0074","Canadian Indian residential schools","Assimilation policy","core","TRUE","1831","1996","Kamloops, Marieval and 139 further schools","Canada","","","","","multi_point","victim_site","Canadian government and churches","","","First Nations, Metis and Inuit children","indigenous dispossession","3200","6000","documented_estimate","","","","","1","confirmed","partial","139 schools named by the TRC; grave searches ongoing and mostly unexcavated","Truth and Reconciliation Commission of Canada 2015","source_checked","GPR anomalies, not recovered remains; no excavation as of 2026","TRC is tier 1; unmarked grave searches ongoing"
"EV0075","Australian frontier massacres","Colonisation of Australia","core","TRUE","1788","1930","416 recorded sites nationwide","Australia","","","","","multi_point","victim_site","Settlers, native police, colonial forces","","","Aboriginal peoples","indigenous dispossession","10000","","documented_estimate","","","","","1","confirmed","extensive","Univ. of Newcastle: 416 massacres with corroborating sources","Colonial Frontier Massacres in Australia, Univ. of Newcastle","source_checked","Newcastle 416 massacres confirmed","416 massacres mapped with corroborating sources; import directly"
"EV0076","Myall Creek massacre","Australian frontier massacres","core","TRUE","1838","1838","Myall Creek, New South Wales","Australia","-29.7500","150.7500","fixture_dev","site","point","victim_site","Settler stockmen","","","Wirrayaraay","indigenous dispossession","28","30","documented_estimate","","","","","1","confirmed","not_assessed","","Criminal trial and executions 1838","unverified","","Perpetrators convicted and hanged; tier 1"
"EV0077","Coniston massacre","Australian frontier massacres","core","TRUE","1928","1928","Coniston, Northern Territory","Australia","-22.1167","132.5333","unverified_ai","approximate","point","victim_site","Police party","","","Warlpiri, Anmatyerre, Kaytetye","indigenous dispossession","31","200","documented_estimate","","","","","1","confirmed","not_assessed","","Board of Inquiry 1929","unverified","","Last recorded frontier massacre"
"EV0078","Black War and Wybalenna","Colonisation of Tasmania","core","TRUE","1824","1847","Tasmania; Wybalenna, Flinders Island","Australia","","","","","region","victim_site","Van Diemen's Land government and settlers","","","Tasmanian Aboriginal people","indigenous dispossession","","","not_quantified","","","","","2","confirmed","not_assessed","","Ryan, Tasmanian Aborigines","unverified","",""
"EV0079","Stolen Generations","Australian assimilation policy","core","TRUE","1910","1970","Nationwide","Australia","","","","","region","victim_site","Australian federal and state governments","","","Aboriginal and Torres Strait Islander children","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","Bringing Them Home report 1997","unverified","",""
"EV0080","Figueiredo Report atrocities","Brazilian Indian Protection Service","core","TRUE","1940","1968","Amazonia and Mato Grosso","Brazil","","","","","region","victim_site","SPI officials and land interests","","","Indigenous peoples","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","Figueiredo Report 1967; National Truth Commission 2014","unverified","","Includes deliberate introduction of disease"
"EV0081","Ache persecution","Paraguay under Stroessner","register","FALSE","1954","1989","Eastern Paraguay","Paraguay","","","","","unmapped","victim_site","State-tolerated hunters and settlers","","","Ache","indigenous dispossession","","","not_quantified","","","","","2","contested","not_assessed","","Munzel; IACHR petitions","unverified","",""
